timestamp,open,high,low,close,volume
2016-05-31,77.8100,79.8700,76.2200,78.9400,146453556
2016-04-29,76.2500,81.7300,75.8000,77.2400,174268331
2016-03-31,72.9900,77.0000,69.5800,76.4800,195451016
2016-02-29,74.0800,74.7800,66.1200,72.3900,213955896
2016-01-29,76.0600,76.5100,68.7600,74.4900,260380987
2015-12-31,79.5300,80.4900,75.5200,77.5500,196690064
2015-11-30,75.1900,81.0100,74.5300,79.0100,183615398
2015-10-30,70.0900,78.8900,68.3600,77.5800,177419211
2015-09-30,69.4100,72.3200,67.0300,69.6600,208292303
2015-08-31,75.5900,76.1700,60.0000,71.3000,178934538
2015-07-31,67.9400,76.9200,66.5300,75.3400,177273461
2015-06-30,69.1300,70.0200,66.6900,67.1500,131118485
2015-05-29,65.2200,70.6900,65.1500,68.6800,144581935
2015-04-30,65.4500,69.9800,64.3500,66.0500,160608587
2015-03-31,276.7100,278.6500,65.0200,65.4100,136699508
2015-02-27,256.3100,274.5000,249.7000,271.3100,49187104
2015-01-30,263.3800,266.7500,245.1700,254.9100,56093964
2014-12-31,256.2700,269.3200,252.3500,262.2000,50490539
2014-11-28,240.9800,259.5000,239.0000,258.1900,51380169
2014-10-31,212.8500,242.5000,195.1900,241.4300,80839596
2014-09-30,213.4100,218.6500,209.1200,213.3700,50857195
2014-08-29,209.8700,218.0000,208.2100,212.5200,44936500
2014-07-31,211.9500,224.7500,211.0100,211.0100,55415300
2014-06-30,215.3700,215.6900,207.3100,210.7100,50554700
2014-05-30,204.1000,215.9500,203.0000,214.8300,54955700
2014-04-30,217.0800,218.1586,194.8400,202.6100,96853500
2014-03-31,223.2400,232.6700,210.5200,215.8600,66709900
2014-02-28,216.5100,228.4800,211.3800,225.9400,57835200
2014-01-31,221.5400,235.5000,215.1090,215.4300,75352000
2013-12-31,204.1000,222.7200,199.4300,222.6800,70411400
2013-11-29,198.9500,205.0699,195.0000,203.4600,51368400
2013-10-31,191.2900,205.2500,180.1100,196.6700,67642100
